客户ID,产品_1,产品_2,产品_3,产品_4,产品_5,产品_6,产品_7,产品_8,产品_9,产品_10,产品_11,产品_12
"K390150","F","F","F","F","F","F","F","T","F","F","F","F"
"K392290","F","F","F","F","F","F","F","T","F","F","F","F"
"K206980","F","F","F","F","F","F","F","T","T","F","F","F"
"K206150","F","F","F","F","F","F","F","T","T","F","F","F"
"K200500","F","F","F","F","F","F","F","T","T","F","F","F"
"K190230","F","F","F","F","F","F","F","T","T","F","F","F"
"K188880","F","F","F","F","F","F","F","T","T","F","F","F"
"K337650","F","F","F","F","F","F","F","T","T","F","F","F"
"K337780","F","F","F","F","F","F","F","T","T","F","F","F"
"K185280","F","F","F","F","F","F","F","T","T","F","F","F"
"K179750","F","F","F","F","F","F","F","T","T","F","F","F"
"K165540","F","F","F","F","F","F","F","T","T","F","F","F"
"K342200","F","F","F","F","F","F","F","T","F","F","F","F"
"K343540","F","F","F","F","F","F","F","T","T","F","F","F"
"K344580","F","F","F","F","F","F","F","T","T","F","F","F"
"K348730","F","F","F","F","F","F","F","T","T","F","F","F"
"K349050","F","F","F","F","F","F","F","T","T","F","F","F"
"K412190","F","F","F","F","F","F","F","T","T","F","F","F"
"K349610","F","F","F","F","F","F","F","T","T","F","F","F"
"K349910","F","F","F","F","F","F","F","T","T","F","F","F"
"K351460","F","F","F","F","F","F","F","T","T","F","F","F"
"K351720","F","F","F","F","F","F","F","T","T","F","F","F"
"K356740","F","F","F","F","F","F","F","T","T","F","F","F"
"K359890","F","F","F","F","F","F","F","T","T","F","F","F"
"K365630","F","F","F","F","F","F","F","T","T","F","F","F"
"K364560","F","F","F","F","F","F","F","T","T","F","F","F"
"K361570","F","F","F","F","F","F","F","T","T","F","F","F"
"K366170","F","F","F","F","F","F","F","T","T","F","F","F"
"K367320","F","F","F","F","F","F","F","T","T","F","F","F"
"K368610","F","F","F","F","F","F","F","T","T","F","F","F"
"K354800","F","F","F","F","F","F","F","T","T","F","F","F"
"K349670","F","F","F","F","F","F","F","T","T","F","F","F"
"K341060","F","F","F","F","F","F","F","T","F","F","F","F"
"K411250","F","F","F","F","F","F","F","T","T","F","F","F"
"K336430","F","F","F","F","F","F","F","T","T","F","F","F"
"K338210","F","F","F","F","F","F","F","T","T","F","F","F"
"K346120","F","F","F","F","F","F","F","T","T","F","F","F"
"K347700","F","F","F","F","F","F","F","T","T","F","F","F"
"K355330","F","F","F","F","F","F","F","T","T","F","F","F"
"K356490","F","F","F","F","F","F","F","T","T","F","F","F"
"K358040","F","F","F","F","F","F","F","T","T","F","F","F"
"K358250","F","F","F","F","F","F","F","T","T","F","F","F"
"K362510","F","F","F","F","F","F","F","T","T","F","F","F"
"K406090","F","F","F","F","F","F","F","T","T","F","F","F"
"K367770","F","F","F","F","F","F","F","T","T","F","F","F"
"K375180","F","F","F","F","F","F","F","T","T","F","F","F"
"K350240","F","F","F","F","F","F","F","T","T","F","F","F"
"K344590","F","F","F","F","F","F","F","T","T","F","F","F"
"K201060","F","F","F","F","F","F","F","T","T","F","F","F"
"K100090","F","F","F","F","F","F","F","T","T","F","F","F"
"K100600","F","F","F","F","F","F","F","T","F","F","F","F"
"K213670","F","F","F","F","F","F","F","T","F","F","F","F"
"K233370","F","F","F","F","F","F","F","T","F","F","F","F"
"K236260","F","F","F","F","F","F","F","T","T","F","F","F"
"K406840","F","F","F","F","F","F","F","T","T","F","F","F"
"K239710","F","F","F","F","F","F","F","T","F","F","F","F"
"K241840","F","F","F","F","F","F","F","T","F","F","F","F"
"K242550","F","F","F","F","F","F","F","T","T","F","F","F"
"K244800","F","F","F","F","F","F","F","T","F","F","F","F"
"K250350","F","F","F","F","F","F","F","T","T","F","F","F"
"K250740","F","F","F","F","F","F","F","T","T","F","F","F"
"K384560","F","F","F","F","F","F","F","T","T","F","F","F"
"K388130","F","F","F","F","F","F","F","T","T","F","F","F"
"K394560","F","F","F","F","F","F","F","T","F","F","F","F"
"K394730","F","F","F","F","F","F","F","T","F","F","F","F"
"K396760","F","F","F","F","F","F","F","T","T","F","F","F"
"K184840","F","F","F","F","F","F","F","T","T","F","F","F"
"K202090","F","F","F","F","F","F","F","T","T","F","F","F"
"K170960","F","F","F","F","F","F","F","T","T","F","F","F"
"K169840","F","F","F","F","F","F","F","T","T","F","F","F"
"K169820","F","F","F","F","F","F","F","T","T","F","F","F"
"K169080","F","F","F","F","F","F","F","T","T","F","F","F"
"K100510","F","F","F","F","F","F","F","T","F","F","F","F"
"K101160","F","F","F","F","F","F","F","T","T","F","F","F"
"K101700","F","F","F","F","F","F","F","T","F","F","F","F"
"K101770","F","F","F","F","F","F","F","T","T","F","F","F"
"K101810","F","F","F","F","F","F","F","T","T","F","F","F"
"K102480","F","F","F","F","F","F","F","T","F","F","F","F"
"K102420","F","F","F","F","F","F","F","T","F","F","F","F"
"K212250","F","F","F","F","F","F","F","T","F","F","F","F"
"K212350","F","F","F","F","F","F","F","T","F","F","F","F"
"K212540","F","F","F","F","F","F","F","T","F","F","F","F"
"K212740","F","F","F","F","F","F","F","T","F","F","F","F"
"K213220","F","F","F","F","F","F","F","T","T","F","F","F"
"K213310","F","F","F","F","F","F","F","T","F","F","F","F"
"K213810","F","F","F","F","F","F","F","T","F","F","F","F"
"K214340","F","F","F","F","F","F","F","T","F","F","F","F"
"K233650","F","F","F","F","F","F","F","T","F","F","F","F"
"K233900","F","F","F","F","F","F","F","T","T","F","F","F"
"K234310","F","F","F","F","F","F","F","T","T","F","F","F"
"K234800","F","F","F","F","F","F","F","T","F","F","F","F"
"K234870","F","F","F","F","F","F","F","T","F","F","F","F"
"K234840","F","F","F","F","F","F","F","T","F","F","F","F"
"K235280","F","F","F","F","F","F","F","T","T","F","F","F"
"K235310","F","F","F","F","F","F","F","T","T","F","F","F"
"K236520","F","F","F","F","F","F","F","T","F","F","F","F"
"K236180","F","F","F","F","F","F","F","T","F","F","F","F"
"K237580","F","F","F","F","F","F","F","T","F","F","F","F"
"K238290","F","F","F","F","F","F","F","T","T","F","F","F"
"K237830","F","F","F","F","F","F","F","T","F","F","F","F"
"K238410","F","F","F","F","F","F","F","T","F","F","F","F"
"K239370","F","F","F","F","F","F","F","T","T","F","F","F"
"K239280","F","F","F","F","F","F","F","T","T","F","F","F"
"K239840","F","F","F","F","F","F","F","T","F","F","F","F"
"K240300","F","F","F","F","F","F","F","T","F","F","F","F"
"K160380","F","F","F","F","F","F","F","T","T","F","F","F"
"K240430","F","F","F","F","F","F","F","T","F","F","F","F"
"K240480","F","F","F","F","F","F","F","T","T","F","F","F"
"K240770","F","F","F","F","F","F","F","T","F","F","F","F"
"K241310","F","F","F","F","F","F","F","T","F","F","F","F"
"K241300","F","F","F","F","F","F","F","T","F","F","F","F"
"K241270","F","F","F","F","F","F","F","T","F","F","F","F"
"K241510","F","F","F","F","F","F","F","T","F","F","F","F"
"K241430","F","F","F","F","F","F","F","T","F","F","F","F"
"K241210","F","F","F","F","F","F","F","T","T","F","F","F"
"K241760","F","F","F","F","F","F","F","T","F","F","F","F"
"K242200","F","F","F","F","F","F","F","T","T","F","F","F"
"K241980","F","F","F","F","F","F","F","T","T","F","F","F"
"K242250","F","F","F","F","F","F","F","T","F","F","F","F"
"K242630","F","F","F","F","F","F","F","T","F","F","F","F"
"K243070","F","F","F","F","F","F","F","T","T","F","F","F"
"K243190","F","F","F","F","F","F","F","T","F","F","F","F"
"K244500","F","F","F","F","F","F","F","T","T","F","F","F"
"K244910","F","F","F","F","F","F","F","T","T","F","F","F"
"K247670","F","F","F","F","F","F","F","T","T","F","F","F"
"K248190","F","F","F","F","F","F","F","T","F","F","F","F"
"K248990","F","F","F","F","F","F","F","T","T","F","F","F"
"K249200","F","F","F","F","F","F","F","T","T","F","F","F"
"K249910","F","F","F","F","F","F","F","T","T","F","F","F"
"K249800","F","F","F","F","F","F","F","T","F","F","F","F"
"K250100","F","F","F","F","F","F","F","T","F","F","F","F"
"K251010","F","F","F","F","F","F","F","T","T","F","F","F"
"K251740","F","F","F","F","F","F","F","T","F","F","F","F"
"K251660","F","F","F","F","F","F","F","T","T","F","F","F"
"K251560","F","F","F","F","F","F","F","T","T","F","F","F"
"K152260","F","F","F","F","F","F","F","T","T","F","F","F"
"K251900","F","F","F","F","F","F","F","T","F","F","F","F"
"K152090","F","F","F","F","F","F","F","T","T","F","F","F"
"K376930","F","F","F","F","F","F","F","T","F","F","F","F"
"K377190","F","F","F","F","F","F","F","T","F","F","F","F"
"K377170","F","F","F","F","F","F","F","T","T","F","F","F"
"K377230","F","F","F","F","F","F","F","T","T","F","F","F"
"K378400","F","F","F","F","F","F","F","T","T","F","F","F"
"K379610","F","F","F","F","F","F","F","T","F","F","F","F"
"K380950","F","F","F","F","F","F","F","T","T","F","F","F"
"K381320","F","F","F","F","F","F","F","T","F","F","F","F"
"K381690","F","F","F","F","F","F","F","T","F","F","F","F"
"K381760","F","F","F","F","F","F","F","T","T","F","F","F"
"K382360","F","F","F","F","F","F","F","T","F","F","F","F"
"K382200","F","F","F","F","F","F","F","T","F","F","F","F"
"K383050","F","F","F","F","F","F","F","T","T","F","F","F"
"K383450","F","F","F","F","F","F","F","T","F","F","F","F"
"K383500","F","F","F","F","F","F","F","T","F","F","F","F"
"K379260","F","F","F","F","F","F","F","T","T","F","F","F"
"K384810","F","F","F","F","F","F","F","T","F","F","F","F"
"K384530","F","F","F","F","F","F","F","T","F","F","F","F"
"K385790","F","F","F","F","F","F","F","T","F","F","F","F"
"K145450","F","F","F","F","F","F","F","T","T","F","F","F"
"K385920","F","F","F","F","F","F","F","T","F","F","F","F"
"K386520","F","F","F","F","F","F","F","T","F","F","F","F"
"K386720","F","F","F","F","F","F","F","T","F","F","F","F"
"K387010","F","F","F","F","F","F","F","T","T","F","F","F"
"K386990","F","F","F","F","F","F","F","T","F","F","F","F"
"K387250","F","F","F","F","F","F","F","T","F","F","F","F"
"K385820","F","F","F","F","F","F","F","T","F","F","F","F"
"K387650","F","F","F","F","F","F","F","T","T","F","F","F"
"K387640","F","F","F","F","F","F","F","T","F","F","F","F"
"K143970","F","F","F","F","F","F","F","T","T","F","F","F"
"K388420","F","F","F","F","F","F","F","T","T","F","F","F"
"K388560","F","F","F","F","F","F","F","T","F","F","F","F"
"K389090","F","F","F","F","F","F","F","T","T","F","F","F"
"K388920","F","F","F","F","F","F","F","T","F","F","F","F"
"K389600","F","F","F","F","F","F","F","T","T","F","F","F"
"K389460","F","F","F","F","F","F","F","T","F","F","F","F"
"K389760","F","F","F","F","F","F","F","T","F","F","F","F"
"K389950","F","F","F","F","F","F","F","T","F","F","F","F"
"K390010","F","F","F","F","F","F","F","T","F","F","F","F"
"K141730","F","F","F","F","F","F","F","T","T","F","F","F"
"K383920","F","F","F","F","F","F","F","T","T","F","F","F"
"K392570","F","F","F","F","F","F","F","T","T","F","F","F"
"K393180","F","F","F","F","F","F","F","T","F","F","F","F"
"K392840","F","F","F","F","F","F","F","T","F","F","F","F"
"K394150","F","F","F","F","F","F","F","T","F","F","F","F"
"K394940","F","F","F","F","F","F","F","T","T","F","F","F"
"K138540","F","F","F","F","F","F","F","T","T","F","F","F"
"K138490","F","F","F","F","F","F","F","T","T","F","F","F"
"K396010","F","F","F","F","F","F","F","T","T","F","F","F"
"K396080","F","F","F","F","F","F","F","T","T","F","F","F"
"K395980","F","F","F","F","F","F","F","T","T","F","F","F"
"K396160","F","F","F","F","F","F","F","T","T","F","F","F"
"K396670","F","F","F","F","F","F","F","T","F","F","F","F"
"K396350","F","F","F","F","F","F","F","T","T","F","F","F"
"K124450","F","F","F","F","F","F","F","T","T","F","F","F"
"K122570","F","F","F","F","F","F","F","T","T","F","F","F"
"K124630","F","F","F","F","F","F","F","T","T","F","F","F"
"K121670","F","F","F","F","F","F","F","T","T","F","F","F"
"K118050","F","F","F","F","F","F","F","T","T","F","F","F"
"K117980","F","F","F","F","F","F","F","T","T","F","F","F"
"K117130","F","F","F","F","F","F","F","T","T","F","F","F"
"K112480","F","F","F","F","F","F","F","T","T","F","F","F"
"K138460","F","F","F","F","F","F","F","T","T","F","F","F"
"K105370","F","F","F","F","F","F","F","T","T","F","F","F"
"K104050","F","F","F","F","F","F","F","T","T","F","F","F"
"K103560","F","F","F","F","F","F","F","T","T","F","F","F"
"K248850","F","F","F","F","F","F","T","F","F","F","F","F"
"K248150","F","F","F","F","F","F","T","F","F","F","F","F"
"K247870","F","F","F","F","F","F","T","F","F","F","F","F"
"K247370","F","F","F","F","F","F","T","F","F","F","F","F"
"K247230","F","F","F","F","F","F","T","F","F","F","F","F"
"K247190","F","F","F","F","F","F","T","F","F","F","F","F"
"K246710","F","F","F","F","F","F","T","F","F","F","F","F"
"K246650","F","F","F","F","F","F","T","F","F","F","F","F"
"K245560","F","F","F","F","F","F","T","F","F","F","F","F"
"K245310","F","F","F","F","F","F","T","F","F","F","F","F"
"K245040","F","F","F","F","F","F","T","F","F","F","F","F"
"K245070","F","F","F","F","F","F","T","F","F","F","F","F"
"K244370","F","F","F","F","F","F","T","T","F","F","F","F"
"K243250","F","F","F","F","F","F","T","F","F","F","F","F"
"K242620","F","F","F","F","F","F","T","F","F","F","F","F"
"K242030","F","F","F","F","F","F","T","F","F","F","F","F"
"K241770","F","F","F","F","F","F","T","F","F","F","F","F"
"K241120","F","F","F","F","F","F","T","F","F","F","F","F"
"K240740","F","F","F","F","F","F","T","T","T","F","F","F"
"K240500","F","F","F","F","F","F","T","F","F","F","F","F"
"K240440","F","F","F","F","F","F","T","F","F","F","F","F"
"K240030","F","F","F","F","F","F","T","F","F","F","F","F"
"K239980","F","F","F","F","F","F","T","T","F","F","F","F"
"K239510","F","F","F","F","F","F","T","F","F","F","F","F"
"K239680","F","F","F","F","F","F","T","F","F","F","F","F"
"K239430","F","F","F","F","F","F","T","F","F","F","F","F"
"K239130","F","F","F","F","F","F","T","F","F","F","F","F"
"K238690","F","F","F","F","F","F","T","F","F","F","F","F"
"K238450","F","F","F","F","F","F","T","T","F","F","F","F"
"K238280","F","F","F","F","F","F","T","F","F","F","F","F"
"K237880","F","F","F","F","F","F","T","F","F","F","F","F"
"K236770","F","F","F","F","F","F","T","F","F","F","F","F"
"K236710","F","F","F","F","F","F","T","F","F","F","F","F"
"K235830","F","F","F","F","F","F","T","F","F","F","F","F"
"K235640","F","F","F","F","F","F","T","F","F","F","F","F"
"K235430","F","F","F","F","F","F","T","F","F","F","F","F"
"K234510","F","F","F","F","F","F","T","F","F","F","F","F"
"K234260","F","F","F","F","F","F","T","F","F","F","F","F"
"K233830","F","F","F","F","F","F","T","F","F","F","F","F"
"K233670","F","F","F","F","F","F","T","F","F","F","F","F"
"K233410","F","F","F","F","F","F","T","F","F","F","F","F"
"K233080","F","F","F","F","F","F","T","F","F","F","F","F"
"K213920","F","F","F","F","F","F","T","F","F","F","F","F"
"K212970","F","F","F","F","F","F","T","F","F","F","F","F"
"K213000","F","F","F","F","F","F","T","F","F","F","F","F"
"K212160","F","F","F","F","F","F","T","F","F","F","F","F"
"K211830","F","F","F","F","F","F","T","F","F","F","F","F"
"K102580","F","F","F","F","F","F","T","F","F","F","F","F"
"K102080","F","F","F","F","F","F","T","T","T","F","F","F"
"K101610","F","F","F","F","F","F","T","T","T","F","F","F"
"K100790","F","F","F","F","F","F","T","F","F","F","F","F"
"K100580","F","F","F","F","F","F","T","F","F","F","F","F"
"K100470","F","F","F","F","F","F","T","F","F","F","F","F"
"K294330","F","F","F","F","F","F","T","T","F","F","F","F"
"K119620","F","F","F","F","F","F","T","F","T","F","F","F"
"K351250","F","F","F","F","F","F","T","T","T","F","F","F"
"K395560","F","F","F","F","F","F","T","F","F","F","F","F"
"K395500","F","F","F","F","F","F","T","F","F","F","F","F"
"K395250","F","F","F","F","F","F","T","F","F","F","F","F"
"K394910","F","F","F","F","F","F","T","F","T","F","F","F"
"K415070","F","F","F","F","F","F","T","F","T","F","F","F"
"K394600","F","F","F","F","F","F","T","F","F","F","F","F"
"K394630","F","F","F","F","F","F","T","F","F","F","F","F"
"K394450","F","F","F","F","F","F","T","F","F","F","F","F"
"K394310","F","F","F","F","F","F","T","F","F","F","F","F"
"K394260","F","F","F","F","F","F","T","F","F","F","F","F"
"K394170","F","F","F","F","F","F","T","F","F","F","F","F"
"K394060","F","F","F","F","F","F","T","F","F","F","F","F"
"K394070","F","F","F","F","F","F","T","F","F","F","F","F"
"K393590","F","F","F","F","F","F","T","F","F","F","F","F"
"K393120","F","F","F","F","F","F","T","T","T","F","F","F"
"K392890","F","F","F","F","F","F","T","F","F","F","F","F"
"K392790","F","F","F","F","F","F","T","F","F","F","F","F"
"K392730","F","F","F","F","F","F","T","F","F","F","F","F"
"K391690","F","F","F","F","F","F","T","T","T","F","F","F"
"K391170","F","F","F","F","F","F","T","F","F","F","F","F"
"K390700","F","F","F","F","F","F","T","F","F","F","F","F"
"K388450","F","F","F","F","F","F","T","F","F","F","F","F"
"K387580","F","F","F","F","F","F","T","F","F","F","F","F"
"K387480","F","F","F","F","F","F","T","F","F","F","F","F"
"K387050","F","F","F","F","F","F","T","F","F","F","F","F"
"K385680","F","F","F","F","F","F","T","F","F","F","F","F"
"K385220","F","F","F","F","F","F","T","F","T","F","F","F"
"K384640","F","F","F","F","F","F","T","F","F","F","F","F"
"K384570","F","F","F","F","F","F","T","F","F","F","F","F"
"K384310","F","F","F","F","F","F","T","F","F","F","F","F"
"K384060","F","F","F","F","F","F","T","F","F","F","F","F"
"K383910","F","F","F","F","F","F","T","F","F","F","F","F"
"K383770","F","F","F","F","F","F","T","F","F","F","F","F"
"K383640","F","F","F","F","F","F","T","T","F","F","F","F"
"K381800","F","F","F","F","F","F","T","F","F","F","F","F"
"K381650","F","F","F","F","F","F","T","F","F","F","F","F"
"K380610","F","F","F","F","F","F","T","F","F","F","F","F"
"K380490","F","F","F","F","F","F","T","F","F","F","F","F"
"K380270","F","F","F","F","F","F","T","F","F","F","F","F"
"K380120","F","F","F","F","F","F","T","T","T","F","F","F"
"K379940","F","F","F","F","F","F","T","F","F","F","F","F"
"K379920","F","F","F","F","F","F","T","F","F","F","F","F"
"K379450","F","F","F","F","F","F","T","F","T","F","F","F"
"K378610","F","F","F","F","F","F","T","F","F","F","F","F"
"K378370","F","F","F","F","F","F","T","F","F","F","F","F"
"K378010","F","F","F","F","F","F","T","F","F","F","F","F"
"K378210","F","F","F","F","F","F","T","F","F","F","F","F"
"K377740","F","F","F","F","F","F","T","F","F","F","F","F"
"K253280","F","F","F","F","F","F","T","F","F","F","F","F"
"K251830","F","F","F","F","F","F","T","T","F","F","F","F"
"K251840","F","F","F","F","F","F","T","F","F","F","F","F"
"K251530","F","F","F","F","F","F","T","F","F","F","F","F"
"K251370","F","F","F","F","F","F","T","F","F","F","F","F"
"K250990","F","F","F","F","F","F","T","F","F","F","F","F"
"K250620","F","F","F","F","F","F","T","F","F","F","F","F"
"K250130","F","F","F","F","F","F","T","F","F","F","F","F"
"K250150","F","F","F","F","F","F","T","F","F","F","F","F"
"K249690","F","F","F","F","F","F","T","F","F","F","F","F"
"K249370","F","F","F","F","F","F","T","F","F","F","F","F"
"K302300","F","F","F","F","F","T","T","F","F","F","F","F"
"K302310","F","F","F","F","F","T","T","F","F","F","F","F"
"K312940","F","F","F","F","F","T","T","F","F","F","F","F"
"K334050","F","F","F","F","F","T","F","F","F","F","F","F"
"K294280","F","F","F","F","F","T","T","F","F","F","F","F"
"K333320","F","F","F","F","F","T","T","F","F","F","F","F"
"K301800","F","F","F","F","F","T","T","F","F","F","F","F"
"K332010","F","F","F","F","F","T","T","F","F","F","F","F"
"K311700","F","F","F","F","F","T","T","F","F","F","F","F"
"K311740","F","F","F","F","F","T","T","F","F","F","F","F"
"K331590","F","F","F","F","F","T","T","F","F","F","F","F"
"K301390","F","F","F","F","F","T","T","T","T","F","F","F"
"K301400","F","F","F","F","F","T","T","F","F","F","F","F"
"K329930","F","F","F","F","F","T","T","F","F","F","F","F"
"K329330","F","F","F","F","F","T","T","F","F","F","F","F"
"K328720","F","F","F","F","F","T","T","F","F","F","F","F"
"K328390","F","F","F","F","F","T","T","F","F","F","F","F"
"K291720","F","F","F","F","F","T","T","F","F","F","F","F"
"K326920","F","F","F","F","F","T","T","F","F","F","F","F"
"K295990","F","F","F","F","F","T","T","F","F","F","F","F"
"K325820","F","F","F","F","F","T","F","F","T","F","F","F"
"K293680","F","F","F","F","F","T","T","F","T","F","F","F"
"K308330","F","F","F","F","F","T","T","F","F","F","F","F"
"K325090","F","F","F","F","F","T","T","F","F","F","F","F"
"K324700","F","F","F","F","F","T","T","F","F","F","F","F"
"K323320","F","F","F","F","F","T","T","F","F","F","F","F"
"K299220","F","F","F","F","F","T","T","F","F","F","F","F"
"K321490","F","F","F","F","F","T","T","F","F","F","F","F"
"K320440","F","F","F","F","F","T","T","T","F","F","F","F"
"K305770","F","F","F","F","F","T","T","F","F","F","F","F"
"K318430","F","F","F","F","F","T","T","F","F","F","F","F"
"K317540","F","F","F","F","F","T","T","T","F","F","F","F"
"K395970","F","F","F","F","F","T","T","T","F","F","F","F"
"K298380","F","F","F","F","F","T","T","F","F","F","F","F"
"K396110","F","F","F","F","F","T","T","F","F","F","F","F"
