客户ID,产品_1,产品_2,产品_3,产品_4,产品_5,产品_6,产品_7,产品_8,产品_9,产品_10,产品_11,产品_12
"K208760","F","T","T","T","T","F","F","F","F","F","F","F"
"K208430","F","T","F","T","F","F","F","F","T","F","F","F"
"K207980","F","T","T","T","F","F","F","F","F","F","F","F"
"K207930","F","T","T","T","F","F","F","T","T","F","F","F"
"K207630","F","T","T","T","F","F","F","T","F","F","F","F"
"K206850","F","T","T","T","F","F","F","F","F","F","F","F"
"K206570","F","T","F","T","F","F","F","F","F","F","F","F"
"K206520","F","T","T","F","T","F","F","F","T","F","F","F"
"K205910","F","T","T","T","T","T","T","F","T","F","F","F"
"K205800","F","T","T","T","F","F","F","F","F","F","F","F"
"K205420","F","T","T","T","F","F","F","F","F","F","F","F"
"K205380","F","T","T","T","F","F","T","T","T","F","F","F"
"K205360","F","T","T","T","F","F","F","F","F","F","F","F"
"K204980","F","T","T","T","F","F","F","T","F","F","F","F"
"K204930","F","T","T","T","F","F","F","F","F","F","F","F"
"K204870","F","T","T","F","F","F","F","F","F","F","F","F"
"K204840","F","T","F","T","F","F","F","F","F","F","F","F"
"K204360","F","T","T","T","F","F","F","F","F","F","F","F"
"K204180","F","T","T","T","T","T","T","T","T","F","F","F"
"K204070","F","T","T","T","F","F","F","F","F","F","F","F"
"K203970","F","T","T","T","F","F","F","F","F","F","F","F"
"K203790","F","T","T","T","F","F","F","F","F","F","F","F"
"K203630","F","T","T","T","T","F","T","F","T","F","F","F"
"K203380","F","T","F","T","F","F","F","T","T","F","F","F"
"K202750","F","T","T","T","F","F","F","F","F","F","F","F"
"K202680","F","T","T","T","F","F","F","F","F","F","F","F"
"K202420","F","T","T","T","F","F","F","F","F","F","F","F"
"K202170","F","T","T","T","T","T","F","F","F","F","F","F"
"K202060","F","T","T","T","F","F","F","F","F","F","F","F"
"K201930","F","T","F","T","F","F","F","F","F","F","F","F"
"K201800","F","T","T","T","F","F","F","F","F","F","F","F"
"K204750","F","T","F","T","T","T","T","F","F","F","F","F"
"K201690","F","T","T","T","F","F","F","F","F","F","F","F"
"K201640","F","T","T","T","F","F","F","F","F","F","F","F"
"K201560","F","T","T","T","F","F","F","F","F","F","F","F"
"K201500","F","T","T","T","F","T","F","F","F","F","F","F"
"K201450","F","T","F","T","T","F","F","F","F","F","F","F"
"K201400","F","T","T","T","F","F","F","F","F","F","F","F"
"K201290","F","T","T","T","F","T","F","F","F","F","F","F"
"K201280","F","T","T","T","F","F","F","F","F","F","F","F"
"K200930","F","T","T","T","F","F","F","F","F","F","F","F"
"K200780","F","T","T","T","T","T","T","F","F","F","F","F"
"K200230","F","T","T","T","F","F","F","F","F","F","F","F"
"K200080","F","T","T","T","F","F","F","F","F","F","F","F"
"K199960","F","T","T","T","T","T","T","F","F","F","F","F"
"K206960","F","T","F","T","F","F","F","F","F","F","F","F"
"K199790","F","T","T","T","F","F","F","F","T","F","F","F"
"K199680","F","T","T","T","T","T","T","F","F","F","F","F"
"K199480","F","T","T","T","F","F","F","F","T","F","F","F"
"K199420","F","T","T","T","T","T","T","F","F","F","F","F"
"K207620","F","T","T","T","F","F","F","F","T","F","F","F"
"K208190","F","T","F","T","F","T","T","F","F","F","F","F"
"K198840","F","T","T","T","F","F","F","F","F","F","F","F"
"K208400","F","T","T","T","F","F","F","F","F","F","F","F"
"K198610","F","T","F","T","T","F","T","F","F","F","F","F"
"K198580","F","T","T","F","F","F","F","T","F","F","F","F"
"K198230","F","T","T","T","T","F","T","F","F","F","F","F"
"K208980","F","T","T","T","F","F","F","T","T","F","F","F"
"K197780","F","T","T","T","F","F","F","F","F","F","F","F"
"K197480","F","T","T","T","T","T","T","F","F","F","F","F"
"K197440","F","T","T","T","F","F","F","F","F","F","F","F"
"K210030","F","T","T","T","F","F","F","F","F","F","F","F"
"K197320","F","T","T","T","F","F","T","F","F","F","F","F"
"K197310","F","T","T","T","T","F","T","F","F","F","F","F"
"K197270","F","T","T","T","T","T","T","F","F","F","F","F"
"K197150","F","T","T","T","T","T","T","F","F","F","F","F"
"K196960","F","T","F","T","T","F","T","F","F","F","F","F"
"K196580","F","T","T","T","F","F","F","F","F","F","F","F"
"K196500","F","T","T","T","T","T","T","F","F","F","F","F"
"K196410","F","T","T","F","F","F","F","F","F","F","F","F"
"K397150","F","T","T","T","T","T","T","F","F","F","F","F"
"K397410","F","T","T","T","F","F","F","F","F","F","F","F"
"K195980","F","T","T","T","F","F","F","F","F","F","F","F"
"K195800","F","T","T","T","F","F","F","T","F","F","F","F"
"K195780","F","T","T","T","F","F","F","F","F","F","F","F"
"K398190","F","T","T","T","T","T","F","F","F","F","F","F"
"K195160","F","T","T","T","T","T","T","F","F","F","F","F"
"K195070","F","T","T","T","F","T","F","F","F","F","F","F"
"K194400","F","T","T","T","F","F","F","F","F","F","F","F"
"K194360","F","T","T","T","T","F","F","F","F","F","F","F"
"K194140","F","T","T","T","F","F","F","F","F","F","F","F"
"K193950","F","T","F","F","F","F","F","F","F","F","F","F"
"K193820","F","T","T","T","T","T","T","F","F","F","F","F"
"K193800","F","T","T","T","F","F","F","F","F","F","F","F"
"K193300","F","T","T","T","T","F","T","F","F","F","F","F"
"K193260","F","T","T","T","F","F","F","F","F","F","F","F"
"K400870","F","T","T","T","F","F","F","F","F","F","F","F"
"K193210","F","T","T","T","F","F","F","F","F","F","F","F"
"K192610","F","T","T","T","F","F","F","F","F","F","F","F"
"K401620","F","T","T","T","T","F","T","F","F","F","F","F"
"K401690","F","T","T","T","F","T","F","F","F","F","F","F"
"K192300","F","T","T","T","T","F","F","F","F","F","F","F"
"K192250","F","T","T","T","F","F","T","F","F","F","F","F"
"K192170","F","T","T","T","T","T","T","F","F","F","F","F"
"K191870","F","T","T","T","F","F","F","F","F","F","F","F"
"K191840","F","T","T","T","F","F","F","F","F","F","F","F"
"K403180","F","T","T","T","F","F","F","F","F","F","F","F"
"K191320","F","T","T","T","F","F","F","F","F","F","F","F"
"K190650","F","T","T","T","T","F","T","T","T","F","F","F"
"K190610","F","T","T","T","F","F","F","T","F","F","F","F"
"K190580","F","T","T","T","F","F","F","F","F","F","F","F"
"K190440","F","T","T","T","F","F","F","T","F","F","F","F"
"K190360","F","T","T","T","T","F","T","F","F","F","F","F"
"K190320","F","T","T","T","F","T","T","F","F","F","F","F"
"K190270","F","T","T","T","F","F","F","F","F","F","F","F"
"K190080","F","T","T","T","T","F","T","F","F","F","F","F"
"K189760","F","T","T","T","F","F","F","F","T","F","F","F"
"K189610","F","T","T","T","F","F","F","F","F","F","F","F"
"K189550","F","T","T","T","T","T","T","F","F","F","F","F"
"K189480","F","T","T","T","F","F","F","F","F","F","F","F"
"K189450","F","T","T","T","F","F","F","F","F","F","F","F"
"K189260","F","T","T","T","F","F","F","T","T","F","F","F"
"K188930","F","T","T","T","T","T","T","F","F","F","F","F"
"K188820","F","T","T","T","F","F","F","F","F","F","F","F"
"K406830","F","T","T","T","F","F","F","F","F","F","F","F"
"K188280","F","T","T","T","F","T","T","F","F","F","F","F"
"K188170","F","T","T","T","T","T","T","F","F","F","F","F"
"K188110","F","T","F","T","F","F","F","F","F","F","F","F"
"K187570","F","T","T","T","F","F","F","F","F","F","F","F"
"K408020","F","T","T","T","F","F","F","F","F","F","F","F"
"K187520","F","T","F","T","F","F","F","F","F","F","F","F"
"K187160","F","T","T","T","F","F","F","F","F","F","F","F"
"K187100","F","T","T","T","F","F","F","F","F","F","F","F"
"K186850","F","T","F","T","F","F","F","F","F","F","F","F"
"K409150","F","T","T","T","F","F","F","F","F","F","F","F"
"K409900","F","T","T","T","F","F","F","T","F","F","F","F"
"K185880","F","T","T","T","F","F","F","F","F","F","F","F"
"K185550","F","T","T","T","F","F","F","F","F","F","F","F"
"K185510","F","T","T","T","T","T","F","F","T","F","F","F"
"K410700","F","T","T","T","F","F","F","F","F","F","F","F"
"K185370","F","T","T","T","F","F","F","F","F","F","F","F"
"K185070","F","T","T","T","T","T","T","F","F","F","F","F"
"K185030","F","T","T","T","F","F","F","F","F","F","F","F"
"K184660","F","T","T","T","F","F","F","F","F","F","F","F"
"K184440","F","T","T","T","F","F","T","F","F","F","F","F"
"K184330","F","T","T","T","F","F","F","F","F","F","F","F"
"K183910","F","T","T","T","T","T","T","F","F","F","F","F"
"K183740","F","T","T","T","T","T","T","F","F","F","F","F"
"K183690","F","T","T","T","F","F","F","F","F","F","F","F"
"K183620","F","T","T","T","T","T","F","F","F","F","F","F"
"K413150","F","T","T","T","F","F","F","F","F","F","F","F"
"K183520","F","T","T","T","T","T","T","F","F","F","F","F"
"K183360","F","T","F","F","F","F","T","T","T","F","F","F"
"K413520","F","T","T","T","F","F","F","F","F","F","F","F"
"K183270","F","T","T","F","F","F","F","F","F","F","F","F"
"K183200","F","T","T","F","T","T","T","F","F","F","F","F"
"K182660","F","T","T","T","F","F","F","F","F","F","F","F"
"K182470","F","T","T","F","F","F","F","F","F","F","F","F"
"K182440","F","T","T","T","T","F","T","F","F","F","F","F"
"K182160","F","T","T","T","F","F","F","F","F","F","F","F"
"K181950","F","T","T","T","F","F","F","T","F","F","F","F"
"K181820","F","T","T","T","F","T","T","F","F","F","F","F"
"K181650","F","T","T","T","T","T","T","F","F","F","F","F"
"K181570","F","T","T","T","F","F","F","F","F","F","F","F"
"K415800","F","T","T","T","F","F","F","F","F","F","F","F"
"K181470","F","T","F","T","F","F","F","F","F","F","F","F"
"K416270","F","T","T","T","F","F","T","F","F","F","F","F"
"K180870","F","T","T","T","F","F","F","F","F","F","F","F"
"K180760","F","T","T","F","F","F","F","T","F","F","F","F"
"K180660","F","T","T","T","F","F","F","F","F","F","F","F"
"K180620","F","T","T","T","T","T","F","F","F","F","F","F"
"K180410","F","T","F","F","F","F","F","F","T","F","F","F"
"K180380","F","T","T","T","F","F","F","F","F","F","F","F"
"K179950","F","T","T","T","T","T","T","T","F","F","F","F"
"K179870","F","T","T","T","F","F","F","F","T","F","F","F"
"K179780","F","T","T","T","F","F","T","F","F","F","F","F"
"K179500","F","T","T","T","F","F","F","T","F","F","F","F"
"K179300","F","T","T","F","F","F","F","T","T","F","F","F"
"K179290","F","T","T","T","F","F","F","F","F","F","F","F"
"K179230","F","T","T","T","T","T","T","F","F","F","F","F"
"K179180","F","T","T","T","F","F","F","F","F","F","F","F"
"K337890","F","T","T","T","T","F","F","T","T","F","F","F"
"K179040","F","T","T","T","T","T","F","F","F","F","F","F"
"K179010","F","T","T","T","F","F","F","F","F","F","F","F"
"K179000","F","T","T","T","F","F","T","F","F","F","F","F"
"K178970","F","T","T","T","F","F","F","F","F","F","F","F"
"K178720","F","T","F","T","F","F","F","F","F","F","F","F"
"K178550","F","T","T","T","F","F","F","F","F","F","F","F"
"K178430","F","T","T","T","F","F","F","F","F","F","F","F"
"K178380","F","T","T","T","F","F","F","T","F","F","F","F"
"K178200","F","T","T","T","F","F","F","F","F","F","F","F"
"K177880","F","T","T","F","T","T","T","F","F","F","F","F"
"K177550","F","T","T","T","F","T","T","F","F","F","F","F"
"K177080","F","T","T","T","F","T","F","F","F","F","F","F"
"K176630","F","T","T","F","T","T","T","F","F","F","F","F"
"K176030","F","T","T","T","F","F","F","F","T","F","F","F"
"K175730","F","T","T","T","F","F","F","F","F","F","F","F"
"K175550","F","T","T","T","F","F","F","F","F","F","F","F"
"K175470","F","T","T","T","F","F","F","F","F","F","F","F"
"K175270","F","T","T","T","F","F","F","F","F","F","F","F"
"K175230","F","T","T","T","T","T","T","F","F","F","F","F"
"K175090","F","T","T","F","F","F","F","F","F","F","F","F"
"K175070","F","T","T","T","T","T","T","F","F","F","F","F"
"K175060","F","T","F","T","F","F","F","F","F","F","F","F"
"K175050","F","T","T","T","F","F","F","F","F","F","F","F"
"K174210","F","T","T","T","F","F","F","F","F","F","F","F"
"K174130","F","T","T","T","F","F","F","F","F","F","F","F"
"K173920","F","T","T","T","T","T","T","F","F","F","F","F"
"K173900","F","T","F","T","F","F","F","F","F","F","F","F"
"K173700","F","T","T","T","F","F","F","F","F","F","F","F"
"K173480","F","T","T","T","F","F","F","F","F","F","F","F"
"K173400","F","T","T","T","T","F","F","F","F","F","F","F"
"K173290","F","T","T","T","F","F","T","F","F","F","F","F"
"K173160","F","T","T","T","T","T","T","F","F","F","F","F"
"K172650","F","T","T","T","T","F","T","F","F","F","F","F"
"K172250","F","T","T","T","F","F","F","F","F","F","F","F"
"K172090","F","T","T","T","T","T","T","F","F","F","F","F"
"K171970","F","T","T","T","T","T","F","T","F","F","F","F"
"K357190","F","T","T","T","F","F","F","T","T","F","F","F"
"K171850","F","T","T","F","F","F","F","F","F","F","F","F"
"K171840","F","T","T","T","F","T","T","T","F","F","F","F"
"K171450","F","T","T","T","T","F","T","F","F","F","F","F"
"K171260","F","T","F","T","F","F","F","F","F","F","F","F"
"K171070","F","T","T","T","F","F","F","F","F","F","F","F"
"K171060","F","T","T","T","F","F","F","F","F","F","F","F"
"K171010","F","T","T","T","F","F","F","F","F","F","F","F"
"K359850","F","T","T","F","F","T","T","T","T","F","F","F"
"K170570","F","T","T","T","F","F","F","F","F","F","F","F"
"K170480","F","T","T","T","T","T","T","F","F","F","F","F"
"K170370","F","T","T","T","T","T","T","F","F","F","F","F"
"K170210","F","T","T","T","F","F","F","F","F","F","F","F"
"K169990","F","T","F","T","T","T","T","F","F","F","F","F"
"K169890","F","T","T","T","T","T","T","F","F","F","F","F"
"K169580","F","T","T","T","F","F","F","F","F","F","F","F"
"K169510","F","T","T","T","F","F","F","F","F","F","F","F"
"K169500","F","T","T","T","F","F","F","F","F","F","F","F"
"K169290","F","T","T","T","F","F","F","F","T","F","F","F"
"K169160","F","T","T","T","F","F","F","F","F","F","F","F"
"K168970","F","T","T","T","F","F","F","F","F","F","F","F"
"K168690","F","T","T","T","F","F","F","F","F","F","F","F"
"K168590","F","T","T","T","T","T","F","F","F","F","F","F"
"K168440","F","T","T","T","F","F","F","F","F","F","F","F"
"K167580","F","T","T","T","F","F","F","F","F","F","F","F"
"K167530","F","T","T","T","F","T","T","F","F","F","F","F"
"K167400","F","T","T","F","F","F","F","F","F","F","F","F"
"K167380","F","T","T","T","T","T","T","F","F","F","F","F"
"K167210","F","T","T","T","F","F","F","F","F","F","F","F"
"K167080","F","T","F","T","F","F","F","F","F","F","F","F"
"K166400","F","T","T","T","F","F","F","F","F","F","F","F"
"K166230","F","T","T","T","T","T","T","F","T","F","F","F"
"K166210","F","T","T","T","F","F","F","F","F","F","F","F"
"K166030","F","T","T","T","F","F","F","F","F","F","F","F"
"K165920","F","T","T","T","F","F","F","F","F","F","F","F"
"K165840","F","T","T","T","T","T","T","F","T","F","F","F"
"K165470","F","T","T","T","T","T","F","F","F","F","F","F"
"K165430","F","T","T","T","F","F","F","F","F","F","F","F"
"K165200","F","T","T","F","F","F","F","F","F","F","F","F"
"K164750","F","T","T","F","F","F","F","F","T","F","F","F"
"K164590","F","T","T","T","F","T","F","F","F","F","F","F"
"K164320","F","T","T","T","F","F","F","T","T","F","F","F"
"K164290","F","T","T","T","T","T","T","F","F","F","F","F"
"K164140","F","T","T","T","F","F","F","F","F","F","F","F"
"K164040","F","T","T","F","F","F","F","F","T","F","F","F"
"K163440","F","T","T","T","T","F","T","F","F","F","F","F"
"K163360","F","T","T","T","F","F","F","T","T","F","F","F"
"K163340","F","T","T","T","F","F","F","F","F","F","F","F"
"K163310","F","T","T","T","F","F","F","F","F","F","F","F"
"K163250","F","T","T","T","F","F","F","F","F","F","F","F"
"K163220","F","T","T","T","F","F","T","F","F","F","F","F"
"K163210","F","T","T","T","F","T","T","F","F","F","F","F"
"K163120","F","T","T","T","F","F","F","F","F","F","F","F"
"K163100","F","T","F","T","F","T","T","F","F","F","F","F"
"K162970","F","T","T","T","F","F","F","F","F","F","F","F"
"K162870","F","T","T","T","F","F","F","F","F","F","F","F"
"K162780","F","T","T","T","F","F","F","F","F","F","F","F"
"K162720","F","T","T","F","F","F","F","F","F","F","F","F"
"K162290","F","T","T","T","F","F","F","T","F","F","F","F"
"K162140","F","T","T","T","T","F","F","T","T","F","F","F"
"K161970","F","T","F","T","T","T","F","F","F","F","F","F"
"K161770","F","T","T","F","F","F","F","F","F","F","F","F"
"K161750","F","T","T","T","F","F","F","F","F","F","F","F"
"K161570","F","T","T","F","F","F","F","T","T","F","F","F"
"K161490","F","T","T","T","F","F","F","F","F","F","F","F"
"K161260","F","T","T","T","F","F","F","F","F","F","F","F"
"K160990","F","T","T","F","F","F","F","F","F","F","F","F"
"K160720","F","T","T","T","F","F","F","F","F","F","F","F"
"K160520","F","T","T","F","F","F","F","F","F","F","F","F"
"K159450","F","T","T","T","F","T","F","F","F","F","F","F"
"K159380","F","T","T","T","F","F","F","F","F","F","F","F"
"K159310","F","T","T","T","F","F","T","F","T","F","F","F"
"K159130","F","T","T","T","T","T","T","F","F","F","F","F"
"K158580","F","T","T","T","F","F","F","F","F","F","F","F"
"K158530","F","T","T","T","F","T","T","F","F","F","F","F"
"K158100","F","T","T","T","T","F","T","F","F","F","F","F"
"K157840","F","T","T","F","F","F","F","F","F","F","F","F"
"K396710","F","F","F","F","F","F","F","F","F","F","F","T"
"K378780","F","F","F","F","F","F","F","F","T","F","F","T"
"K378460","F","F","F","F","T","F","F","F","F","F","F","T"
"K396580","F","F","F","T","F","F","F","F","F","F","F","T"
"K318260","F","F","F","F","T","T","T","F","F","F","F","T"
"K100770","F","F","F","F","F","F","F","T","T","F","F","T"
"K378350","F","F","F","F","F","F","F","T","T","F","F","T"
"K396510","F","F","F","F","F","F","T","F","F","F","F","T"
"K100650","F","T","F","F","F","F","F","F","F","F","F","T"
"K378270","F","F","F","F","F","F","F","F","F","F","F","T"
"K390950","F","F","F","F","F","F","F","F","F","F","F","T"
"K396480","F","F","F","F","F","F","F","T","F","F","F","T"
"K285080","F","F","F","F","T","T","T","F","F","F","F","T"
"K293770","F","T","F","F","T","F","T","T","T","F","F","T"
"K297920","F","F","F","T","T","T","T","F","F","F","F","T"
"K313920","F","F","F","F","T","T","T","F","F","F","F","T"
"K315990","F","F","F","F","T","T","T","F","F","F","F","T"
"K334200","F","F","F","F","T","T","T","F","F","F","F","T"
"K100520","F","F","F","F","F","F","F","F","F","F","F","T"
"K234160","F","F","F","F","F","F","F","F","F","F","F","T"
"K248530","F","F","F","T","F","F","F","T","T","F","F","T"
"K378130","F","F","F","F","F","F","F","F","F","F","F","T"
"K383790","F","F","F","F","F","F","F","T","T","F","F","T"
"K390860","F","F","F","T","F","F","T","F","F","F","F","T"
"K396260","F","F","T","T","F","F","F","F","F","F","F","T"
"K266250","F","F","T","F","F","F","F","F","F","F","F","T"
"K280990","F","F","F","F","T","T","T","F","F","F","F","T"
"K284320","F","F","F","F","T","T","T","F","F","F","F","T"
"K285070","F","F","F","F","T","T","T","F","F","F","F","T"
"K293650","F","F","F","F","T","T","T","F","F","F","F","T"
"K296880","F","F","F","F","T","T","T","F","F","F","F","T"
"K302430","F","F","F","F","T","T","F","T","T","F","F","T"
"K305910","F","F","F","F","T","F","T","T","T","F","F","T"
"K309410","F","F","F","F","F","T","T","F","F","F","F","T"
"K320650","F","F","F","F","T","T","T","T","T","F","F","T"
"K326950","F","F","F","F","T","T","T","F","F","F","F","T"
"K100490","F","F","F","F","F","F","F","F","F","F","F","T"
"K234150","F","T","F","F","F","F","F","F","F","F","F","T"
"K240730","F","F","T","F","F","F","F","F","F","F","F","T"
"K244430","F","F","F","F","F","F","F","F","F","F","F","T"
"K248520","F","F","F","F","T","F","T","T","F","F","F","T"
"K251770","F","F","F","F","F","F","F","F","F","F","F","T"
"K381140","F","F","F","F","T","F","T","F","F","F","F","T"
"K383760","F","F","F","F","F","F","F","F","F","F","F","T"
"K390850","F","F","F","F","F","F","F","F","T","F","F","T"
"K393570","F","F","F","F","F","F","F","F","F","F","F","T"
"K396180","F","F","F","F","F","F","T","F","F","F","F","T"
"K265080","F","F","F","F","F","F","F","T","T","F","F","T"
"K270120","F","F","F","F","F","F","F","F","F","F","F","T"
"K271750","F","F","F","F","F","F","F","F","F","F","F","T"
"K273440","F","F","F","F","F","F","F","F","F","F","F","T"
"K277000","F","F","F","F","F","F","F","F","F","F","F","T"
"K284250","F","F","F","F","T","T","T","F","F","F","F","T"
"K288350","F","F","F","F","T","T","T","F","T","F","F","T"
"K290700","F","F","F","F","T","T","T","F","F","F","F","T"
"K294230","F","F","F","F","T","T","T","F","F","F","F","T"
"K300620","F","F","F","F","T","T","T","T","F","F","F","T"
"K308110","F","F","T","F","T","T","T","F","T","F","F","T"
"K309390","F","F","F","F","T","T","T","F","F","F","F","T"
"K310400","F","F","F","T","T","T","T","F","F","F","F","T"
"K315950","F","F","F","F","F","T","T","F","F","F","F","T"
"K319340","F","T","F","F","T","T","T","F","F","F","F","T"
"K319880","F","F","F","F","T","T","T","F","F","F","F","T"
"K323550","F","T","T","T","T","T","T","T","F","F","F","T"
"K324710","F","F","F","F","T","T","T","F","F","F","F","T"
"K332080","F","F","F","T","T","T","T","T","T","F","F","T"
"K334140","F","T","F","T","T","F","T","F","F","F","F","T"
"K101870","F","F","F","F","F","F","F","T","F","F","F","T"
"K234000","F","F","F","F","F","F","F","F","F","F","F","T"
"K236330","F","F","F","F","F","F","F","F","F","F","F","T"
"K237590","F","F","F","F","F","F","F","T","T","F","F","T"
"K239380","F","T","F","F","F","T","T","F","F","F","F","T"
"K240650","F","F","F","F","F","F","F","F","T","F","F","T"
"K246720","F","F","F","F","F","F","F","F","F","F","F","T"
"K253030","F","F","F","F","F","F","F","F","F","F","F","T"
"K383730","F","T","T","T","F","F","F","F","F","F","F","T"
"K385350","F","F","F","F","F","T","F","F","F","F","F","T"
"K390820","F","F","F","F","F","F","F","F","F","F","F","T"
"K391970","F","F","F","F","F","F","F","F","F","F","F","T"
"K393550","F","F","F","F","F","F","F","F","T","F","F","T"
"K396130","F","F","F","F","F","F","F","F","F","F","F","T"
"K266230","F","F","F","F","F","T","F","F","F","F","F","T"
"K270270","F","F","F","F","F","F","F","F","F","F","F","T"
"K270670","F","F","F","F","F","F","F","F","F","F","F","T"
"K271250","F","F","F","F","F","T","T","F","F","F","F","T"
"K271410","F","F","F","F","F","F","F","F","F","F","F","T"
"K277930","F","T","T","T","T","T","F","F","F","F","F","T"
"K279690","F","F","T","F","F","F","F","F","F","F","F","T"
"K280730","F","F","F","F","T","T","T","F","F","F","F","T"
"K281830","F","F","F","F","T","T","T","T","F","F","F","T"
"K282580","F","F","F","T","T","T","T","F","F","F","F","T"
"K288320","F","F","F","F","T","T","T","F","F","F","F","T"
"K290200","F","F","F","F","T","T","T","F","F","F","F","T"
"K290970","F","F","F","F","F","T","T","T","T","F","F","T"
"K292630","F","T","T","T","T","T","T","T","T","F","F","T"
"K293310","F","T","T","T","T","T","T","F","F","F","F","T"
"K297290","F","F","F","F","T","T","T","F","F","F","F","T"
"K297820","F","F","F","T","T","T","T","F","F","F","F","T"
"K298360","F","F","F","F","T","T","T","F","F","F","F","T"
"K298630","F","F","F","F","T","T","T","F","F","F","F","T"
"K299800","F","F","F","F","T","T","T","F","F","F","F","T"
"K301430","F","F","F","F","T","T","T","F","F","F","F","T"
"K310120","F","F","F","F","T","T","T","F","F","F","F","T"
"K314050","F","F","F","F","T","T","T","F","F","F","F","T"
"K314900","F","F","F","F","T","T","T","F","T","F","F","T"
"K323510","F","F","F","F","T","T","T","F","F","F","F","T"
"K323690","F","F","F","F","T","T","T","F","F","F","F","T"
"K327210","F","F","F","F","T","T","T","F","T","F","F","T"
"K328170","F","F","F","F","T","T","T","F","F","F","F","T"
"K330140","F","F","F","F","T","T","T","F","F","F","F","T"
"K330440","F","F","F","F","T","F","T","T","F","F","F","T"
"K331120","F","F","F","F","T","T","T","F","F","F","F","T"
"K333560","F","F","F","F","T","T","T","F","T","F","F","T"
"K335380","F","F","F","F","T","T","T","F","F","F","F","T"
"K100360","F","T","T","T","F","F","F","F","F","F","F","T"
"K100890","F","F","F","F","F","F","F","F","F","F","F","T"
"K101760","F","F","F","F","F","T","F","F","F","F","F","T"
"K212730","F","F","F","F","T","F","T","F","F","F","F","T"
"K213410","F","F","F","F","F","F","F","F","F","F","F","T"
"K232780","F","F","F","F","F","F","F","F","F","F","F","T"
"K236890","F","F","T","T","F","F","F","F","F","F","F","T"
"K238140","F","T","T","F","F","F","F","F","F","F","F","T"
"K243620","F","F","F","F","F","F","F","F","F","F","F","T"
"K245160","F","F","F","F","F","F","F","F","F","F","F","T"
"K246690","F","F","F","F","T","F","T","F","F","F","F","T"
"K247320","F","F","F","F","F","F","F","F","F","F","F","T"
"K248030","F","F","T","T","F","F","F","F","F","F","F","T"
"K249590","F","T","F","T","T","T","F","F","F","F","F","T"
"K251090","F","F","F","F","F","F","F","F","F","F","F","T"
"K251550","F","F","F","F","F","T","F","F","T","F","F","T"
"K252980","F","T","F","T","F","F","F","F","F","F","F","T"
"K379350","F","F","F","F","F","F","F","F","F","F","F","T"
"K380620","F","F","F","F","T","F","F","F","F","F","F","T"
"K383220","F","F","F","T","F","F","F","F","F","F","F","T"
"K383620","F","F","F","F","F","F","F","F","F","F","F","T"
"K384400","F","F","F","F","F","F","F","F","F","F","F","T"
"K386910","F","F","F","F","F","F","F","F","F","F","F","T"
"K387470","F","F","F","F","F","F","F","F","F","F","F","T"
"K388640","F","F","F","F","F","F","F","F","F","F","F","T"
"K390720","F","F","F","F","F","T","F","T","F","F","F","T"
"K391360","F","T","T","T","F","F","F","F","F","F","F","T"
"K391960","F","F","F","F","F","F","F","F","F","F","F","T"
"K393490","F","F","F","F","F","F","F","T","F","F","F","T"
"K393900","F","F","F","T","F","T","T","F","F","F","F","T"
"K395740","F","F","F","F","T","F","T","F","T","F","F","T"
"K396040","F","F","F","F","F","F","F","T","T","F","F","T"
"K264210","F","F","F","F","F","F","F","F","F","F","F","T"
"K264900","F","F","T","F","T","T","T","F","F","F","F","T"
"K265350","F","F","F","F","F","F","F","F","F","F","F","T"
"K265680","F","F","F","F","T","F","F","F","F","F","F","T"
"K266790","F","F","F","F","F","F","F","F","F","F","F","T"
"K268330","F","F","F","F","T","T","T","F","F","F","F","T"
"K270140","F","F","F","F","F","F","F","F","F","F","F","T"
"K272950","F","F","F","F","F","F","F","F","F","F","F","T"
"K274520","F","T","F","F","T","F","T","F","F","F","F","T"
"K230370","F","F","F","F","F","F","F","F","F","F","F","T"
"K230720","F","F","F","F","F","F","F","F","F","F","F","T"
"K278320","F","F","F","T","F","F","F","F","T","F","F","T"
"K278960","F","F","F","F","F","F","F","F","F","F","F","T"
"K279680","F","F","F","F","T","F","F","F","F","F","F","T"
"K280520","F","F","F","F","F","F","F","F","F","F","F","T"
"K281200","F","T","T","F","T","T","T","F","F","F","F","T"
"K281370","F","F","T","T","T","T","T","F","F","F","F","T"
"K283260","F","F","F","F","T","T","T","F","F","F","F","T"
"K283580","F","F","F","F","T","T","T","F","F","F","F","T"
"K285560","F","F","F","F","T","T","T","F","F","F","F","T"
"K285660","F","F","F","F","T","T","T","T","T","F","F","T"
"K286900","F","F","F","F","T","T","T","F","F","F","F","T"
"K289830","F","F","F","F","T","T","F","F","F","F","F","T"
"K291830","F","F","T","T","T","T","T","T","F","F","F","T"
"K292460","F","F","F","F","T","T","T","F","F","F","F","T"
"K293050","F","F","F","F","T","T","T","F","F","F","F","T"
"K294400","F","F","F","F","T","T","T","F","F","F","F","T"
"K295270","F","F","F","F","T","T","T","F","F","F","F","T"
"K295820","F","T","F","T","T","T","T","T","F","F","F","T"
"K296510","F","F","F","F","T","T","T","F","F","F","F","T"
"K296990","F","F","F","F","T","T","T","F","T","F","F","T"
"K298590","F","F","F","T","T","T","T","F","F","F","F","T"
"K299100","F","F","F","F","T","T","T","T","T","F","F","T"
